Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
New Zealand,609,153.16666666666666,3.97,609,1,draw,West Indies,Dunedin,2013-12-03,1,9
England,608,,3.04,608,1,draw,South Africa,Johannesburg,1948-12-27,0,10
Pakistan,608,195.0,3.11,608,1,draw,England,Birmingham,1971-06-03,1,7
Australia,607,183.0,3.31,374,2,won,New Zealand,Brisbane,1993-12-03,1,6
West Indies,606,143.0,4.23,415,2,won,England,Birmingham,1984-06-14,0,10
India,606,173.0,3.5,606,1,draw,England,The Oval,1990-08-23,1,9
West Indies,606,184.66666666666666,3.28,103,2,draw,Australia,Sydney,1993-01-02,0,10
Sri Lanka,606,151.0,4.01,606,1,draw,Pakistan,Lahore,2009-03-01,0,10
Australia,605,154.5,3.91,605,1,won,West Indies,Bridgetown,2003-05-01,1,9
Australia,604,,3.22,604,1,won,England,Melbourne,1937-02-26,0,10
West Indies,604,161.0,3.75,604,1,won,India,Wankhede,1975-01-23,1,6
England,604,162.0,3.72,120,2,won,South Africa,The Oval,2003-09-04,1,9
South Africa,604,158.0,3.82,604,1,won,West Indies,Centurion,2004-01-16,1,6
Australia,604,157.0,3.84,604,1,won,India,Adelaide,2012-01-24,1,7
India,603,165.66666666666666,3.63,15,2,draw,Pakistan,Faisalabad,2006-01-21,0,10
India,603,210.0,2.87,152,2,draw,Australia,Ranchi,2017-03-16,1,9
Australia,602,206.5,2.91,602,1,won,England,Nottingham,1989-08-10,1,6
Australia,602,155.0,3.88,602,1,won,England,Brisbane,2006-11-23,1,9
Australia,601,,3.49,601,1,won,England,Brisbane,1954-11-26,1,8
Australia,601,178.5,3.36,601,1,won,England,Leeds,1989-06-08,1,7
India,601,156.5,3.84,601,1,won,South Africa,Pune,2019-10-10,1,5
Australia,600,,3.0,600,1,won,England,Melbourne,1925-01-01,0,10
Australia,600,201.0,2.98,218,2,draw,West Indies,Port of Spain,1955-04-11,1,9
Pakistan,600,165.5,3.62,600,1,draw,England,The Oval,1974-08-22,1,7
India,600,169.0,3.55,600,1,draw,Australia,Sydney,1986-01-02,1,4
Pakistan,600,175.33333333333334,3.42,419,2,won,Sri Lanka,Galle,2000-06-21,1,8
South Africa,600,139.0,4.31,600,1,won,Zimbabwe,Harare,2001-09-07,1,3
India,600,177.33333333333334,3.38,376,2,won,Pakistan,Rawalpindi,2004-04-13,0,10
Sri Lanka,600,162.0,3.7,600,1,won,India,Colombo (SSC),2008-07-23,1,6
England,600,153.33333333333334,3.91,600,1,draw,West Indies,Bridgetown,2009-02-26,1,6
India,600,133.16666666666666,4.5,600,1,won,Sri Lanka,Galle,2017-07-26,0,10
Australia,599,174.0,3.44,599,1,draw,Pakistan,Peshawar,1998-10-15,1,4
Pakistan,599,140.16666666666666,4.27,606,3,won,India,Karachi,2006-01-29,1,7
England,599,138.5,4.32,599,1,won,Bangladesh,Chattogram,2010-03-12,1,6
England,598,206.0,2.9,75,2,draw,Pakistan,Abu Dhabi,2015-10-13,1,9
Australia,598,152.66666666666666,3.91,598,1,won,West Indies,Perth,2022-11-30,1,4
West Indies,596,154.0,3.87,201,2,draw,England,Bridgetown,1974-03-06,1,8
South Africa,595,,3.62,250,2,won,Australia,Adelaide,1964-01-24,0,10
England,595,134.0,4.44,260,2,won,Australia,Birmingham,1985-08-15,1,5
New Zealand,595,148.83333333333334,3.99,299,2,won,South Africa,Auckland,2004-03-18,0,10
Bangladesh,595,152.0,3.91,595,1,lost,New Zealand,Wellington,2017-01-12,1,8
